start_time,start_station_id,end_station_id,start_lat,start_lng,end_lat,end_lng,avgTemp,value,bike_rides_daily
2022-04-22,6018.356035877847,6007.128512954273,40.73993060188193,-73.97707483347104,40.73952299057115,-73.97738549441979,14.6,1.0,97387.0
2022-04-23,5993.556510931131,5971.555363415951,40.739169012495424,-73.97635826675008,40.73840298737,-73.97673078433259,13.3,1.0,94455.0
2022-04-24,5930.446689435775,5912.987620865598,40.737169311795164,-73.975506728814,40.73656098046546,-73.9757339710987,12.8,1.0,83300.0
2022-04-25,6066.590999518006,6062.8852636145775,40.74153481212825,-73.97647816959464,40.741413498415234,-73.97639160211065,10.4,1.0,72615.0
2022-04-26,6057.886446794025,6056.039834043178,40.74115277760856,-73.97722787725242,40.74108441047026,-73.97722112639228,11.5,1.0,74907.0
2022-04-27,6051.92301982542,6047.150811883833,40.740947014784325,-73.97676934958717,40.74076590598492,-73.97703382762998,11.6,1.0,82369.0
2022-04-28,6055.972849113596,6044.934531178301,40.741121678034254,-73.97688528712213,40.74072431670232,-73.97700910673281,8.2,1.0,78469.0
2022-04-29,6040.59768174085,6031.744130779665,40.74069387532284,-73.97644223879816,40.74038287213392,-73.97665546605865,10.4,1.0,86992.0
2022-04-30,5962.760937093276,5951.722783628153,40.73812179183677,-73.97615192975323,40.73772844568906,-73.97630980105865,12.9,1.0,101420.0
2022-05-01,5978.8416402200355,5967.093187968811,40.73870649168088,-73.97548015741013,40.7382868877199,-73.97570762157525,13.6,1.0,94530.0
2022-05-02,6054.671406579695,6051.327377374071,40.74102770476367,-73.97667081007474,40.74093519172853,-73.9764251579055,12.1,1.0,54502.0
2022-05-03,6044.70462549874,6039.589516312165,40.740649793155235,-73.97735545739033,40.74047278802578,-73.9774368681536,12.4,1.0,92487.0
2022-05-04,6036.796488548659,6028.935047834559,40.74045372808087,-73.97694656706679,40.74022844568164,-73.97652254420976,12.0,1.0,79556.0
2022-05-05,6034.387788150971,6027.853369262454,40.74038400665775,-73.97715598224076,40.74016444661164,-73.97728803365226,17.2,1.0,110224.0
2022-05-06,6016.477282206142,6015.837681262642,40.740050648149506,-73.97497035836777,40.74000862545309,-73.97515571768396,14.8,1.0,35104.0
2022-05-07,6075.798799006478,6063.425813726923,40.74245526921928,-73.9732052585212,40.74202925988468,-73.97346777897872,10.0,1.0,20533.0
2022-05-08,6022.311541651382,6005.3910900043065,40.740345574949956,-73.97520811508932,40.73975283153066,-73.97554366846647,10.4,1.0,62699.0
2022-05-09,6058.770765954729,6051.150091355317,40.74133212868775,-73.97648596481737,40.741076998494435,-73.97650292494343,13.5,1.0,93923.0
2022-05-10,6060.3256393034835,6049.836973324149,40.74135678118234,-73.97676690570808,40.74099482572901,-73.97681615546905,15.4,1.0,104522.0
2022-05-11,6054.687078585517,6045.415360331304,40.74120433269423,-73.97669824830837,40.74088985088508,-73.97673924922064,16.1,1.0,106985.0
2022-05-12,6047.985684461461,6039.742234142464,40.74097572292594,-73.97651061602912,40.740715694267024,-73.97657214208006,17.1,1.0,110748.0
2022-05-13,6026.854398086744,6021.6186639790285,40.74035486156784,-73.97612106725546,40.740168244943824,-73.9763110162953,16.0,1.0,95758.0
2022-05-14,5978.311127214777,5963.965561147016,40.73880312445849,-73.97536497189057,40.73829400544193,-73.97580499617808,17.9,1.0,79693.0
2022-05-15,5977.4069001274265,5964.646294853091,40.738775201619795,-73.9757551010545,40.73832650981844,-73.97591182884368,18.8,1.0,108300.0
2022-05-16,6094.239838121094,6088.0572126324305,40.74284666670833,-73.97547814369217,40.742619763466685,-73.97573831229346,20.4,1.0,79196.0
2022-05-17,6057.871080214542,6050.012459449779,40.74133457580286,-73.97649493995944,40.74106227843714,-73.97654316113662,19.7,1.0,117273.0
2022-05-18,6058.072245142945,6050.887295870583,40.7413916227568,-73.97654517862388,40.74113171306447,-73.97660738572912,17.8,1.0,117463.0
2022-05-19,6042.663904201588,6034.6082782126,40.74094662952543,-73.97608150993138,40.74071659324487,-73.97567542792427,15.5,1.0,90088.0
2022-05-20,6025.921789930392,6020.144891698025,40.74037769870689,-73.97562324415333,40.740151146232115,-73.97608293950223,15.400000000000002,1.0,85051.0
